indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001393X,"Gasgrid Finland","Inkoo LNG (FI)",21Z000000000531O,entry,kWh/d,,,67580111.52,"2025-07-16 08:05",,Provisional,no,,no,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X-AT-C-A0A0A-B,TAG,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,entry,kWh/d,,,56383944,"2025-07-13 18:23",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X-AT-C-A0A0A-B,TAG,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,exit,kWh/d,,,0,"2025-07-13 18:23",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X-AT-C-A0A0A-B,TAG,"Baumgarten (TAG)",21Z000000000164P,entry,kWh/d,,,0,"2025-07-13 18:23",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X-AT-C-A0A0A-B,TAG,"Baumgarten (TAG)",21Z000000000164P,exit,kWh/d,,,0,"2025-07-13 18:23",,Provisional,yes,,no,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X-DE-F-A0A0A-2,ONTRAS,"Lubmin II",21Z0000000004790,entry,kWh/d,,,0,"2025-07-09 07:06",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001304L,NET4GAS,"VIP Brandov",21Z0000000004863,entry,kWh/d,,,423498039,"2025-07-10 13:07",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001304L,NET4GAS,"VIP Brandov",21Z0000000004863,exit,kWh/d,,,0,"2025-07-10 13:07",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001304L,NET4GAS,"VIP Waidhaus",21Z000000000489Y,entry,kWh/d,,,0,"2025-07-10 13:07",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001304L,NET4GAS,"VIP Waidhaus",21Z000000000489Y,exit,kWh/d,,,0,"2025-07-10 13:07",,Provisional,yes,,yes,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",58X-ICGB-00-00-H,ICGB,"Komotini-DESFA/ICGB (GR/BG)",21Z0000000005398,entry,kWh/d,,,0,"2025-07-10 23:08",,Provisional,yes,,no,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001304L,NET4GAS,"Aggregated Final Consumers (CZ)",21Y000000000140G,entry,kWh/d,,,,"2025-07-10 13:07",,Provisional,no,,no,,
"Physical Flow",day,"2025-07-09 06:00","2025-07-10 06:00",21X000000001304L,NET4GAS,"Aggregated Final Consumers (CZ)",21Y000000000140G,exit,kWh/d,,,8910933,"2025-07-10 13:07",,Provisional,no,,no,,
